Sphere Function with dim=2
N, DE, CEM, p_value
16, 0.0(0.0), 0.0(0.0), 0.0001
32, 0.0(0.0), 0.0(0.0), 0.0027
64, 0.0(0.0), 0.0(0.0), 0.0041
128, 0.0(0.0), 0.0(0.0), 0.0001
256, 0.0(0.0), 0.0(0.0), 0.0113

Sphere Function with dim=10
N, DE, CEM, p_value
16, 0.0(0.0), 1e-05(0.0), 0.0
32, 0.0(0.0), 1e-05(0.0), 0.0
64, 0.0(0.0), 1e-05(0.0), 0.0
128, 0.0(0.0), 1e-05(0.0), 0.0
256, 0.0(0.0), 1e-05(0.0), 0.0

Griewank Function with dim=2
N, DE, CEM, p_value
16, 0.00382(0.00807), 56.8073(40.9768), 0.0006
32, 0.0(0.0), 43.64334(38.84943), 0.0034
64, 0.0(0.0), 39.91955(40.66987), 0.0087
128, 0.0(0.0), 39.73234(40.708), 0.009
256, 0.00039(0.00041), 39.59014(40.80359), 0.0093

Griewank Function with dim=10
N, DE, CEM, p_value
16, 0.00715(0.0059), 5.94278(4.55233), 0.001
32, 0.0(0.0), 2.66543(1.81451), 0.0003
64, 0.0(0.0), 0.81721(0.57756), 0.0005
128, 0.0(0.0), 0.18015(0.08162), 0.0
256, 4e-05(9e-05), 0.18697(0.2077), 0.0147

Rosenbrock Function with dim=2
N, DE, CEM, p_value
16, 0.04259(0.0976), 0.0(0.0), 0.207
32, 0.0003(0.00089), 0.0(0.0), 0.3342
64, 0.0(0.0), 0.0(0.0), 0.002
128, 0.0(0.0), 0.0(0.0), 0.0
256, 8e-05(8e-05), 0.0(0.0), 0.0045

Rosenbrock Function with dim=10
N, DE, CEM, p_value
16, 10.04111(17.43601), 1.59526(1.81382), 0.1655
32, 0.87063(1.58434), 0.34339(0.33722), 0.3418
64, 1.13416(1.57723), 0.65268(1.20718), 0.4764
128, 1.64847(1.65245), 0.26644(0.04751), 0.0219
256, 4.19167(1.19222), 0.28427(0.03174), 0.0

Michalewicz Function with dim=2
N, DE, CEM, p_value
16, -1.8013(0.0), -1.58232(0.33904), 0.0685
32, -1.8013(0.0), -1.8013(0.0), 0.0001
64, -1.8013(0.0), -1.8013(0.0), 0.0008
128, -1.8013(0.0), -1.8013(0.0), 0.0021
256, -1.8013(0.0), -1.8013(0.0), 0.0009

Michalewicz Function with dim=10
N, DE, CEM, p_value
16, -9.57823(0.06151), -7.98339(0.69556), 0.0
32, -9.65605(0.01233), -8.28619(0.50446), 0.0
64, -9.66016(0.0), -8.87415(0.27555), 0.0
128, -9.66016(0.0), -9.01525(0.28476), 0.0
256, -9.66016(0.0), -9.3448(0.19088), 0.0001

Ackley Function with dim=2
N, DE, CEM, p_value
16, 0.00014(0.00041), 0.01005(0.00528), 0.0
32, 0.0(0.0), 0.00537(0.00257), 0.0
64, 0.0(0.0), 0.00778(0.00361), 0.0
128, 0.0(0.0), 0.00907(0.00211), 0.0
256, 0.0(0.0), 0.00721(0.0036), 0.0

Ackley Function with dim=10
N, DE, CEM, p_value
16, 0.11552(0.34654), 0.75241(0.15972), 0.0001
32, 0.0(0.0), 0.77397(0.13038), 0.0
64, 0.0(0.0), 0.80325(0.11536), 0.0
128, 0.0(0.0), 0.80098(0.12484), 0.0
256, 0.0(0.0), 0.81875(0.08757), 0.0

